# Cooling: kT = 0.5
    0   -708.000000
    1   -716.000000
    2   -720.000000
    3   -720.000000
    4   -720.000000
    5   -722.000000
    6   -722.000000
    7   -720.000000
    8   -720.000000
    9   -720.000000
   10   -720.000000
   11   -720.000000
   12   -722.000000
   13   -722.000000
   14   -722.000000
   15   -720.000000
   16   -718.000000
   17   -718.000000
   18   -722.000000
   19   -722.000000
   20   -722.000000
   21   -720.000000
   22   -722.000000
   23   -722.000000
   24   -722.000000
   25   -722.000000
   26   -720.000000
   27   -720.000000
   28   -718.000000
   29   -722.000000
   30   -722.000000
   31   -722.000000
   32   -718.000000
   33   -720.000000
   34   -718.000000
   35   -722.000000
   36   -720.000000
   37   -720.000000
   38   -722.000000
   39   -722.000000
   40   -722.000000
   41   -718.000000
   42   -720.000000
   43   -722.000000
   44   -722.000000
   45   -720.000000
   46   -722.000000
   47   -720.000000
   48   -720.000000
   49   -718.000000
   50   -722.000000
   51   -722.000000
   52   -720.000000
   53   -722.000000
   54   -720.000000
   55   -722.000000
   56   -718.000000
   57   -718.000000
   58   -720.000000
   59   -722.000000
   60   -722.000000
   61   -722.000000
   62   -722.000000
   63   -720.000000
   64   -718.000000
   65   -720.000000
   66   -720.000000
   67   -718.000000
   68   -722.000000
   69   -722.000000
   70   -722.000000
   71   -722.000000
   72   -722.000000
   73   -722.000000
   74   -722.000000
   75   -720.000000
   76   -722.000000
   77   -722.000000
   78   -722.000000
   79   -722.000000
   80   -722.000000
   81   -722.000000
   82   -720.000000
   83   -720.000000
   84   -722.000000
   85   -722.000000
   86   -720.000000
   87   -720.000000
   88   -720.000000
   89   -722.000000
   90   -722.000000
   91   -720.000000
   92   -716.000000
   93   -722.000000
   94   -722.000000
   95   -718.000000
   96   -718.000000
   97   -718.000000
   98   -718.000000
   99   -716.000000
  100   -714.000000
  110   -722.000000
  120   -722.000000
  130   -722.000000
  140   -722.000000
  150   -718.000000
  160   -722.000000
  170   -722.000000
  180   -720.000000
  190   -720.000000
  200   -722.000000
  210   -720.000000
  220   -722.000000
  230   -722.000000
  240   -720.000000
  250   -720.000000
  260   -720.000000
  270   -720.000000
  280   -720.000000
  290   -722.000000
  300   -722.000000
  310   -722.000000
  320   -716.000000
  330   -722.000000
  340   -718.000000
  350   -722.000000
  360   -720.000000
  370   -722.000000
  380   -722.000000
  390   -722.000000
  400   -718.000000
  410   -720.000000
  420   -720.000000
  430   -722.000000
  440   -720.000000
  450   -720.000000
  460   -722.000000
  470   -718.000000
  480   -722.000000
  490   -720.000000
  500   -720.000000
  510   -722.000000
  520   -722.000000
  530   -722.000000
  540   -720.000000
  550   -722.000000
  560   -720.000000
  570   -720.000000
  580   -720.000000
  590   -722.000000
  600   -720.000000
  610   -716.000000
  620   -720.000000
  630   -720.000000
  640   -722.000000
  650   -720.000000
  660   -722.000000
  670   -722.000000
  680   -722.000000
  690   -722.000000
  700   -722.000000
  710   -722.000000
  720   -722.000000
  730   -720.000000
  740   -722.000000
  750   -720.000000
  760   -718.000000
  770   -722.000000
  780   -720.000000
  790   -720.000000
  800   -720.000000
  810   -720.000000
  820   -720.000000
  830   -722.000000
  840   -720.000000
  850   -722.000000
  860   -722.000000
  870   -722.000000
  880   -722.000000
  890   -722.000000
  900   -720.000000
  910   -720.000000
  920   -720.000000
  930   -720.000000
  940   -722.000000
  950   -720.000000
  960   -722.000000
  970   -722.000000
  980   -722.000000
  990   -720.000000
