#  N   trapezoid     Simpsons      Gauss      GSL      3-8
#---------------------------------------------------------
2.557507e+00  -6.191786e+00  -1.247985e+01  -9.182132e+00  -1.575539e+01  -1.212833e+01
2.564666e+00  -6.206143e+00  -1.250914e+01  -9.196108e+00  -1.575539e+01  -1.215693e+01
2.571709e+00  -6.220267e+00  -1.253528e+01  -9.209867e+00  -1.575539e+01  -1.218555e+01
2.578639e+00  -6.234165e+00  -1.256422e+01  -9.223414e+00  -1.575539e+01  -1.221344e+01
2.585461e+00  -6.247844e+00  -1.259372e+01  -9.236755e+00  -1.575539e+01  -1.224084e+01
2.592177e+00  -6.261311e+00  -1.262121e+01  -9.104588e+00  -1.575539e+01  -1.226825e+01
2.598791e+00  -6.274572e+00  -1.264615e+01  -9.117599e+00  -1.575539e+01  -1.229389e+01
2.605305e+00  -6.287633e+00  -1.266974e+01  -9.130421e+00  -1.575539e+01  -1.231970e+01
2.611723e+00  -6.300502e+00  -1.269848e+01  -9.143057e+00  -1.575539e+01  -1.234749e+01
2.618048e+00  -6.313182e+00  -1.272277e+01  -9.155515e+00  -1.575539e+01  -1.237175e+01
2.624282e+00  -6.325680e+00  -1.274892e+01  -9.167797e+00  -1.575539e+01  -1.239688e+01
2.630428e+00  -6.338000e+00  -1.277267e+01  -9.179911e+00  -1.575539e+01  -1.242053e+01
2.636488e+00  -6.350149e+00  -1.279683e+01  -9.191859e+00  -1.575539e+01  -1.244533e+01
2.642465e+00  -6.362130e+00  -1.282292e+01  -9.203646e+00  -1.575539e+01  -1.246961e+01
2.648360e+00  -6.373947e+00  -1.284583e+01  -9.215276e+00  -1.575539e+01  -1.249175e+01
2.654177e+00  -6.385606e+00  -1.286946e+01  -9.226755e+00  -1.575539e+01  -1.251459e+01
2.659916e+00  -6.397111e+00  -1.288675e+01  -9.238085e+00  -1.575539e+01  -1.253922e+01
2.665581e+00  -6.408465e+00  -1.291403e+01  -9.249270e+00  -1.575539e+01  -1.256143e+01
2.671173e+00  -6.419673e+00  -1.294181e+01  -9.260314e+00  -1.575539e+01  -1.258308e+01
2.676694e+00  -6.430738e+00  -1.295812e+01  -9.094633e+00  -1.575539e+01  -1.260957e+01
2.682145e+00  -6.441664e+00  -1.298160e+01  -9.105439e+00  -1.575539e+01  -1.262893e+01
2.687529e+00  -6.452454e+00  -1.299875e+01  -9.116114e+00  -1.575539e+01  -1.265022e+01
2.692847e+00  -6.463111e+00  -1.302139e+01  -9.126658e+00  -1.575539e+01  -1.266939e+01
2.698101e+00  -6.473640e+00  -1.304443e+01  -9.137079e+00  -1.575539e+01  -1.269243e+01
2.703291e+00  -6.484042e+00  -1.306608e+01  -9.147376e+00  -1.575539e+01  -1.271281e+01
2.708421e+00  -6.494322e+00  -1.308422e+01  -9.157553e+00  -1.575539e+01  -1.273544e+01
