# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.2800  2.961829185385209e-01  9.491672077320639e-01  4.504591941169415e-01  3.419152778108521e-01
0.2900  3.055457322307789e-01  9.230201198101688e-01  4.259830707871892e-01  3.753765582287452e-01
0.3000  3.146358049213204e-01  8.946186080131565e-01  4.001712269016989e-01  4.098858357144177e-01
0.3100  3.234305996281347e-01  8.639660624064465e-01  3.732186784950499e-01  4.452273140067047e-01
0.3200  3.319076721356357e-01  8.310777137968907e-01  3.453450831849332e-01  4.811609304928044e-01
0.3300  3.400447912830776e-01  7.959809949601775e-01  3.167928721688971e-01  5.174243496436407e-01
0.3400  3.478200624009192e-01  7.587158075180005e-01  2.878248382888458e-01  5.537355012335928e-01
0.3500  3.552120529086284e-01  7.193346860257349e-01  2.587211952598713e-01  5.897956470837670e-01
0.3600  3.621999190082332e-01  6.779028519073143e-01  2.297761383120350e-01  6.252929448606006e-01
0.3700  3.687635323405203e-01  6.344981511526627e-01  2.012939519080736e-01  6.599064620078657e-01
0.3800  3.748836054171216e-01  5.892108711592411e-01  1.735847253461159e-01  6.933105777223031e-01
0.3900  3.805418146035751e-01  5.421434337318026e-01  1.469597513692547e-01  7.251796965676490e-01
0.4000  3.857209194073478e-01  4.934099630262892e-01  1.217266958068020e-01  7.551931844362016e-01
0.4100  3.904048768219824e-01  4.431357291025306e-01  9.818463720361570e-02  7.830404266735247e-01
0.4200  3.945789494948811e-01  3.914564696989493e-01  7.661908383458219e-02  8.084258998001080e-01
0.4300  3.982298065222507e-01  3.385175948198865e-01  5.729708100132043e-02  8.310741428432836e-01
0.4400  4.013456157304830e-01  2.844732806887989e-01  4.046252371292408e-02  8.507345121872146e-01
0.4500  4.039161263783624e-01  2.294854615232649e-01  2.633178852527295e-02  8.671856052938969e-01
