# h             euler_rel_err      rk4_rel_err
1.0000000000000001e-01  3.5654998632562801e-02  8.9574654915299142e-04
1.0000000000000000e-02  3.3556510492130302e-03  8.3920699978927278e-06
1.0000000000000000e-03  3.3355565066069029e-04  8.3391707334720877e-08
1.0000000000000000e-04  3.3335555684897455e-05  8.3334326257868571e-10
1.0000000000000001e-05  3.3333558968174844e-06  8.0034522165309160e-12
1.0000000000000002e-06  3.3333396116849074e-07  2.9818003066345399e-13
1.0000000000000002e-07  3.3389135611042701e-08  5.5971997738712674e-11
