# h             euler_rel_err      rk4_rel_err
1.0000000000000001e-01  1.3663889990655831e-01  3.3117200943193537e-02
1.0000000000000000e-02  3.1086918064262302e-02  1.6451234926099812e-04
1.0000000000000000e-03  3.1383027823046264e-03  1.6449359595979932e-06
1.0000000000000000e-04  3.1412636659794034e-04  1.6449357749153564e-08
1.0000000000000001e-05  3.1415597312779272e-05  1.6427232804130246e-10
1.0000000000000002e-06  3.1415885061407084e-06  7.8529359207993611e-13
1.0000000000000002e-07  3.1413687855976308e-07  2.2353400409864992e-11
