numerical = 6.904189068583305167e-01   exact = 6.904189068583320710e-01
numerical = 6.960797542191192733e-01   exact = 6.960797542191200504e-01
numerical = 7.016976556848821822e-01   exact = 7.016976556848830704e-01
numerical = 7.072722646490707810e-01   exact = 7.072722646490642306e-01
numerical = 7.128032371761087171e-01   exact = 7.128032371761163777e-01
numerical = 7.182902320227120274e-01   exact = 7.182902320227204651e-01
numerical = 7.237329106588380467e-01   exact = 7.237329106588402672e-01
numerical = 7.291309372886005669e-01   exact = 7.291309372886068951e-01
numerical = 7.344839788710331163e-01   exact = 7.344839788710388895e-01
numerical = 7.397917051405822342e-01   exact = 7.397917051405873412e-01
numerical = 7.450537886275105937e-01   exact = 7.450537886275137023e-01
numerical = 7.502699046780832992e-01   exact = 7.502699046780931802e-01
numerical = 7.554397314746543746e-01   exact = 7.554397314746444936e-01
numerical = 7.605629500553928724e-01   exact = 7.605629500553855449e-01
numerical = 7.656392443341175635e-01   exact = 7.656392443341122345e-01
numerical = 7.706683011197046351e-01   exact = 7.706683011196996391e-01
numerical = 7.756498101354324382e-01   exact = 7.756498101354251107e-01
numerical = 7.805834640381269507e-01   exact = 7.805834640381116296e-01
numerical = 7.854689584370837530e-01   exact = 7.854689584370891930e-01
numerical = 7.903059919129861166e-01   exact = 7.903059919129755695e-01
numerical = 7.950942660362767533e-01   exact = 7.950942660362724235e-01
numerical = 7.998334853857710369e-01   exact = 7.998334853857773652e-01
numerical = 8.045233575668000459e-01   exact = 8.045233575668108150e-01
numerical = 8.091635932292680078e-01   exact = 8.091635932292559064e-01
numerical = 8.137539060854116491e-01   exact = 8.137539060854097617e-01
numerical = 8.182940129276479180e-01   exact = 8.182940129276476959e-01
numerical = 8.227836336458871358e-01   exact = 8.227836336458947963e-01
numerical = 8.272224912449025469e-01   exact = 8.272224912449090972e-01
numerical = 8.316103118613772383e-01   exact = 8.316103118613704659e-01
numerical = 8.359468247807733121e-01   exact = 8.359468247807778640e-01
numerical = 8.402317624541411067e-01   exact = 8.402317624541503216e-01
numerical = 8.444648605145310682e-01   exact = 8.444648605145352871e-01
numerical = 8.486458577933188030e-01   exact = 8.486458577933183589e-01
numerical = 8.527744963363333985e-01   exact = 8.527744963363365072e-01
numerical = 8.568505214198073316e-01   exact = 8.568505214197940090e-01
numerical = 8.608736815659800978e-01   exact = 8.608736815659764341e-01
numerical = 8.648437285587743384e-01   exact = 8.648437285587674550e-01
numerical = 8.687604174589468320e-01   exact = 8.687604174589623751e-01
numerical = 8.726235066193928080e-01   exact = 8.726235066193804846e-01
numerical = 8.764327576997749114e-01   exact = 8.764327576997728020e-01
numerical = 8.801879356815336397e-01   exact = 8.801879356815286437e-01
numerical = 8.838888088821711397e-01   exact = 8.838888088821742484e-01
numerical = 8.875351489696802210e-01   exact = 8.875351489696671203e-01
numerical = 8.911267309764909772e-01   exact = 8.911267309764834277e-01
numerical = 8.946633333134933475e-01   exact = 8.946633333134980104e-01
numerical = 8.981447377836652146e-01   exact = 8.981447377836554447e-01
numerical = 9.015707295954391576e-01   exact = 9.015707295954320522e-01
numerical = 9.049410973760887433e-01   exact = 9.049410973760884103e-01
numerical = 9.082556331847226883e-01   exact = 9.082556331847094766e-01
numerical = 9.115141325250452065e-01   exact = 9.115141325250345483e-01
numerical = 9.147163943580655099e-01   exact = 9.147163943580738366e-01
numerical = 9.178622211144988885e-01   exact = 9.178622211145119891e-01
numerical = 9.209514187068846836e-01   exact = 9.209514187068972291e-01
numerical = 9.239837965415998999e-01   exact = 9.239837965416162202e-01
numerical = 9.269591675306561029e-01   exact = 9.269591675306531053e-01
numerical = 9.298773481031430421e-01   exact = 9.298773481031320509e-01
numerical = 9.327381582166476282e-01   exact = 9.327381582166428542e-01
numerical = 9.355414213683534985e-01   exact = 9.355414213683495017e-01
numerical = 9.382869646058922264e-01   exact = 9.382869646058792368e-01
numerical = 9.409746185379885830e-01   exact = 9.409746185379935790e-01
numerical = 9.436042173450306381e-01   exact = 9.436042173450390758e-01
numerical = 9.461755987891788955e-01   exact = 9.461755987891777853e-01
numerical = 9.486886042243978245e-01   exact = 9.486886042243970474e-01
numerical = 9.511430786063118648e-01   exact = 9.511430786062972098e-01
numerical = 9.535388705016482058e-01   exact = 9.535388705016573097e-01
numerical = 9.558758320977666090e-01   exact = 9.558758320977782663e-01
numerical = 9.581538192116056951e-01   exact = 9.581538192116024755e-01
numerical = 9.603726912986214614e-01   exact = 9.603726912986090269e-01
numerical = 9.625323114614844355e-01   exact = 9.625323114614854347e-01
numerical = 9.646325464585780995e-01   exact = 9.646325464585733256e-01
numerical = 9.666732667120824241e-01   exact = 9.666732667120890854e-01
numerical = 9.686543463161129131e-01   exact = 9.686543463161185752e-01
numerical = 9.705756630443854727e-01   exact = 9.705756630443851396e-01
numerical = 9.724370983577854677e-01   exact = 9.724370983577901306e-01
numerical = 9.742385374117304986e-01   exact = 9.742385374117269459e-01
numerical = 9.759798690631835694e-01   exact = 9.759798690631663609e-01
numerical = 9.776609858775094919e-01   exact = 9.776609858775134887e-01
numerical = 9.792817841352439157e-01   exact = 9.792817841352366992e-01
numerical = 9.808421638382709418e-01   exact = 9.808421638382661678e-01
numerical = 9.823420287161741538e-01   exact = 9.823420287161636066e-01
numerical = 9.837812862320743923e-01   exact = 9.837812862320621798e-01
numerical = 9.851598475883632799e-01   exact = 9.851598475883753814e-01
numerical = 9.864776277322937492e-01   exact = 9.864776277322755416e-01
numerical = 9.877345453609464032e-01   exact = 9.877345453609417403e-01
numerical = 9.889305229265790143e-01   exact = 9.889305229265753505e-01
numerical = 9.900654866411888744e-01   exact = 9.900654866411848776e-01
numerical = 9.911393664811226634e-01   exact = 9.911393664811384285e-01
numerical = 9.921520961914734871e-01   exact = 9.921520961914835901e-01
numerical = 9.931036132900329383e-01   exact = 9.931036132900357138e-01
numerical = 9.939938590712358302e-01   exact = 9.939938590712323885e-01
numerical = 9.948227786097546543e-01   exact = 9.948227786097555425e-01
numerical = 9.955903207639256181e-01   exact = 9.955903207639202890e-01
numerical = 9.962964381788174117e-01   exact = 9.962964381788299573e-01
numerical = 9.969410872893069708e-01   exact = 9.969410872892982001e-01
numerical = 9.975242283225318474e-01   exact = 9.975242283225358442e-01
numerical = 9.980458253006128100e-01   exact = 9.980458253006061486e-01
numerical = 9.985058460426498028e-01   exact = 9.985058460426433635e-01
numerical = 9.989042621668451361e-01   exact = 9.989042621668386968e-01
numerical = 9.992410490921918020e-01   exact = 9.992410490921911359e-01
numerical = 9.995161860400250120e-01   exact = 9.995161860400244569e-01
numerical = 9.997296560352568751e-01   exact = 9.997296560352687544e-01
numerical = 9.998814459075077155e-01   exact = 9.998814459075078265e-01
numerical = 9.999715462918074005e-01   exact = 9.999715462917919684e-01
numerical = 9.999999516292233936e-01   exact = 9.999999516292157331e-01
numerical = 9.999666601672494437e-01   exact = 9.999666601672603239e-01
numerical = 9.998716739599041725e-01   exact = 9.998716739599027292e-01
numerical = 9.997149988675030352e-01   exact = 9.997149988674881582e-01
numerical = 9.994966445563828739e-01   exact = 9.994966445563687740e-01
