# h             euler_rel_err      rk4_rel_err
1.0000000000000001e-01  3.5654998632562801e-02  1.0994707777159275e-07
1.0000000000000000e-02  3.3556510492130302e-03  1.3636656908776339e-11
1.0000000000000000e-03  3.3355565066069029e-04  7.3217932636821112e-16
1.0000000000000000e-04  3.3335555684897455e-05  3.8622459465923133e-14
1.0000000000000001e-05  3.3333558968174844e-06  3.1886409663335593e-13
1.0000000000000002e-06  3.3333396116849074e-07  3.8384501184853466e-13
1.0000000000000002e-07  3.3389135611042701e-08  5.5973462097365410e-11
