# Spherical Bessel functions via up and down recursion
# x    Down    Up    Rel. Error    GSL    Rel. Error GSL
0.100000  7.271511e-21 -5.598304508899037e+02 1.000000000000000e+00 7.271510996713675e-21 3.103824163366885e-16
0.200000  7.441173e-18 -2.924431444415340e-01 1.000000000000000e+00 7.441172528051469e-18 1.035283048270650e-16
0.300000  4.286293e-16 -2.832349121994625e-03 1.000000000000000e+00 4.286292970560104e-16 5.751334184918132e-17
0.400000  7.599905e-15 -2.285693985853705e-05 1.000000000000000e+00 7.599905487801448e-15 3.113963350546426e-16
0.500000  7.064124e-14 -2.153572674323811e-05 1.000000000000000e+00 7.064123963661874e-14 2.680114593500145e-16
0.600000  4.363467e-13 1.112589706168066e-06 9.999992156200598e-01 4.363466946970137e-13 0.000000000000000e+00
0.700000  2.032691e-12 -1.446284365628065e-06 1.000000000000000e+00 2.032690813658624e-12 2.980508256045498e-16
0.800000  7.701463e-12 -3.671270205382520e-07 1.000000000000000e+00 7.701462808417898e-12 1.048883292747161e-16
0.900000  2.491675e-11 -3.497517639272900e-08 1.000000000000000e+00 2.491675128448631e-11 1.296787944340505e-16
1.000000  7.116553e-11 1.550995102157186e-09 9.122583483440236e-01 7.116552640047304e-11 2.724218675431975e-16
1.100000  1.837427e-10 9.833810997964021e-09 9.633158582736543e-01 1.837426794263317e-10 1.406825796977993e-16
1.200000  4.364346e-10 -3.537999486480921e-09 1.000000000000000e+00 4.364345826222951e-10 0.000000000000000e+00
1.300000  9.664368e-10 -1.286725853245523e-09 1.000000000000000e+00 9.664368164624779e-10 3.209653486120358e-16
1.400000  2.015872e-09 2.561404092806270e-09 1.191825926643300e-01 2.015872411662196e-09 1.025834531699073e-16
1.500000  3.993441e-09 4.278405158668328e-09 3.444992376204092e-02 3.993440699483639e-09 0.000000000000000e+00
1.600000  7.563022e-09 7.303429519891674e-09 1.746163897224430e-02 7.563022131425291e-09 3.281151098775672e-16
1.700000  1.376747e-08 1.377378347909309e-08 2.290845886374839e-04 1.376747420140679e-08 2.403289377418276e-16
1.800000  2.419736e-08 2.423450535627460e-08 7.670553253309520e-04 2.419735543953548e-08 1.367390109419176e-16
1.900000  4.121588e-08 4.129249326962455e-08 9.285433893891329e-04 4.121588066443884e-08 8.027785399395539e-17
2.000000  6.825301e-08 6.833085722930397e-08 5.699690739865959e-04 6.825300864974738e-08 0.000000000000000e+00
2.100000  1.101832e-07 1.101835242565131e-07 1.671560039386777e-06 1.101831559003765e-07 1.201171784625132e-16
2.200000  1.738026e-07 1.738208425995858e-07 5.254673367674740e-05 1.738025761243822e-07 2.284469556661264e-16
2.300000  2.684239e-07 2.684260576691501e-07 4.019934143250757e-06 2.684238995676772e-07 0.000000000000000e+00
2.400000  4.066066e-07 4.066024782991880e-07 5.120396533652634e-06 4.066066422523500e-07 0.000000000000000e+00
2.500000  6.050436e-07 6.050400974675998e-07 2.913431687835428e-06 6.050436229638558e-07 0.000000000000000e+00
2.600000  8.856241e-07 8.856284046496721e-07 2.421762215488543e-06 8.856241150972461e-07 2.391062226103938e-16
2.700000  1.276695e-06 1.276697128428460e-06 7.706997231377963e-07 1.276695160529730e-06 8.293218434607040e-17
2.800000  1.814543e-06 1.814542118665629e-06 1.694545725565082e-07 1.814542733630650e-06 4.668024244099800e-16
2.900000  2.545114e-06 2.545114509341224e-06 3.774683314930413e-08 2.545114317201206e-06 0.000000000000000e+00
3.000000  3.526004e-06 3.526003295401022e-06 8.476654024520071e-08 3.526003893175271e-06 3.603369308073233e-16
3.100000  4.828719e-06 4.828719307515197e-06 1.056169133914344e-09 4.828719317715091e-06 5.262469558833932e-16
3.200000  6.541251e-06 6.541250749110431e-06 1.857543839102463e-08 6.541250506097229e-06 5.179639253777325e-16
3.300000  8.770955e-06 8.770954766378667e-06 4.954072198336446e-12 8.770954766465571e-06 0.000000000000000e+00
3.400000  1.164777e-05 1.164777283081116e-05 5.922810544272999e-09 1.164777296878627e-05 7.272059212728317e-17
3.500000  1.532779e-05 1.532778714551326e-05 4.766378739971287e-09 1.532778699939717e-05 4.420901450614432e-16
3.600000  1.999713e-05 1.999712519630746e-05 1.808331719029278e-09 1.999712512398457e-05 4.235773602468325e-16
3.700000  2.587622e-05 2.587621749643130e-05 6.404135244234697e-10 2.587621746328833e-05 1.964041958889907e-16
3.800000  3.322440e-05 3.322439878540162e-05 1.863439919338427e-11 3.322439878663985e-05 1.019772189340453e-16
3.900000  4.234485e-05 4.234485023008845e-05 4.597086596986730e-10 4.234485026902103e-05 1.600256828158354e-16
4.000000  5.358987e-05 5.358986582643085e-05 5.392624501238706e-10 5.358986576863283e-05 1.896701031298536e-16
4.100000  6.736642e-05 6.736642163792189e-05 2.397761927258311e-10 6.736642160561613e-05 2.011762957428478e-16
4.200000  8.414202e-05 8.414202183682228e-05 1.536282330354886e-10 8.414202181096907e-05 1.610672867656485e-16
4.300000  1.044508e-04 1.044507834513533e-04 9.780400776621712e-11 1.044507834309218e-04 6.487518193212844e-17
4.400000  1.288997e-04 1.288997187884492e-04 4.214224814243259e-12 1.288997187895356e-04 1.051400831851080e-16
4.500000  1.581752e-04 1.581751637264763e-04 3.767431572723308e-11 1.581751637145580e-04 8.568050026188447e-17
4.600000  1.930493e-04 1.930492927198002e-04 2.152321895240017e-11 1.930492927114901e-04 7.020241807527830e-17
4.700000  2.343867e-04 2.343866540293716e-04 1.219103040407750e-12 2.343866540299431e-04 5.782124077054943e-17
4.800000  2.831506e-04 2.831506496162878e-04 3.971123056270401e-12 2.831506496140390e-04 9.572661884789727e-17
