10 766279568251663898515189663161776789323642537633160472346949649279237275346133532351503456340851818496.00000000 100.00000000
20 1364821286855767730520067916974272947111503776308980096351481686791125509307872258019874248866656157696.00000000 100.00000000
40 1126506052521205856675558678517591818288967092857436487601091125592418768518596532063908939371454136320.00000000 100.00000000
80 980607702609035548534427429714238083789824668816853964854361072028456806097671246200266651905954938880.00000000 100.00000000
160 1002510949999962827933903125133198505716098031126101763860448277262061018014250891822103610658318712832.00000000 100.00000000
320 1017039494205046211057091119310760880261462180622123330129285059551506099463984737490143468290838626304.00000000 100.00000000
640 955431391786396521137826842990002375199167068446215814538386970231480413044022153586486512471213342720.00000000 100.00000000
1280 969295904763383698462023502557438114497455990523821840120973429350866847268459151596375019191273521152.00000000 100.00000000
2560 1009792398322251783605698409971375739394070542141427117385223328661166042733337991761403189311368593408.00000000 100.00000000
5120 990609346173104640405853470625046696208185868832311011110262916751485996103130271744095438686254006272.00000000 100.00000000
10240 1000304690011733018442290355357601112135120966523486049162754664358195844830929160738504954382366277632.00000000 100.00000000
20480 1015392239418558848628015610601808799422329767786397695843856149030870469106252876361691137536004456448.00000000 100.00000000
40960 1000960716532978273153124271025343222031335016663835426240054078725068517846530572698569972271823192064.00000000 100.00000000
81920 999122305141809798300438734086428674651149091388475739131927919974247030137238477848102445039000485888.00000000 100.00000000
163840 996185760459168212380511580476114266533785716916783936470349043535012364297383329578714587368385413120.00000000 100.00000000
327680 999682116094235871738113427855727214394477032392241770961782778057043624305094720245330953563227029504.00000000 100.00000000
655360 1002709062053711431042501344517318159596665428889770765859301713446926091066100278568017155874885730304.00000000 100.00000000
