# Spherical Bessel functions via up and down recursion
0.100000  7.271511e-21 -5.646698220813140e+02 1.000000000000000e+00 7.271510996713675e-21 2.069216108911257e-16
0.200000  7.441173e-18 -1.371593364499953e-01 1.000000000000000e+00 7.441172528051469e-18 0.000000000000000e+00
0.300000  4.286293e-16 3.908255790906504e-04 9.999999999978065e-01 4.286292970560104e-16 1.725400255475440e-16
0.400000  7.599905e-15 -3.662896398664618e-04 1.000000000000000e+00 7.599905487801448e-15 1.037987783515475e-16
0.500000  7.064124e-14 -2.153572674323811e-05 1.000000000000000e+00 7.064123963661874e-14 2.680114593500145e-16
0.600000  4.363467e-13 3.815484341553592e-06 9.999997712758826e-01 4.363466946970137e-13 1.735561374053773e-16
0.700000  2.032691e-12 -7.701172349953447e-07 1.000000000000000e+00 2.032690813658624e-12 2.980508256045498e-16
0.800000  7.701463e-12 -3.546635072842489e-07 1.000000000000000e+00 7.701462808417898e-12 2.097766585494321e-16
0.900000  2.491675e-11 2.769320684278481e-08 9.982021328969167e-01 2.491675128448631e-11 3.241969860851261e-16
1.000000  7.116553e-11 4.001014853345872e-08 9.964489424526255e-01 7.116552640047304e-11 3.632291567242634e-16
1.100000  1.837427e-10 5.860302284125778e-09 9.391987715067079e-01 1.837426794263317e-10 1.406825796977993e-16
1.200000  4.364346e-10 -4.876726162338533e-09 1.000000000000000e+00 4.364345826222951e-10 5.922856522269006e-17
1.300000  9.664368e-10 -1.533026703125311e-09 1.000000000000000e+00 9.664368164624779e-10 1.069884495373453e-16
1.400000  2.015872e-09 2.260300546155513e-09 5.716048833956809e-02 2.015872411662196e-09 3.077503595097216e-16
1.500000  3.993441e-09 3.449675234299617e-09 7.305615954683001e-02 3.993440699483639e-09 0.000000000000000e+00
1.600000  7.563022e-09 7.336672749299066e-09 1.519154478921951e-02 7.563022131425291e-09 2.187434065850448e-16
1.700000  1.376747e-08 1.372920403309932e-08 1.391810602760216e-03 1.376747420140679e-08 1.802467033063707e-16
1.800000  2.419736e-08 2.419953470228764e-08 4.502898317973990e-05 2.419735543953548e-08 2.051085164128763e-16
1.900000  4.121588e-08 4.128500793822310e-08 8.378973239571679e-04 4.121588066443884e-08 0.000000000000000e+00
2.000000  6.825301e-08 6.834199102435920e-08 6.514321521584899e-04 6.825300864974738e-08 1.939092512209339e-16
2.100000  1.101832e-07 1.101868597919310e-07 1.680760217233366e-05 1.101831559003765e-07 0.000000000000000e+00
2.200000  1.738026e-07 1.738001158513304e-07 7.077830836030599e-06 1.738025761243822e-07 3.045959408881686e-16
2.300000  2.684239e-07 2.684388372317457e-07 2.782399120761744e-05 2.684238995676772e-07 9.861185849817782e-17
2.400000  4.066066e-07 4.066091553402641e-07 3.090308773549216e-06 4.066066422523500e-07 6.509923068415862e-17
2.500000  6.050436e-07 6.050455909407365e-07 1.626307265338432e-06 6.050436229638558e-07 3.499883789804443e-16
2.600000  8.856241e-07 8.856258411997419e-07 9.745109603163345e-07 8.856241150972461e-07 5.977655565259843e-17
2.700000  1.276695e-06 1.276698377606673e-06 1.259922097650452e-06 1.276695160529730e-06 8.293218434607040e-17
2.800000  1.814543e-06 1.814542831958874e-06 2.709448967522974e-08 1.814542733630650e-06 6.418533335637224e-16
2.900000  2.545114e-06 2.545113721273280e-06 1.170729333979113e-07 2.545114317201206e-06 4.992111404562130e-16
3.000000  3.526004e-06 3.526002897773255e-06 1.411515970285543e-07 3.526003893175271e-06 7.206738616146462e-16
3.100000  4.828719e-06 4.828719593998119e-06 2.860831043351253e-08 4.828719317715091e-06 1.841864345591872e-15
3.200000  6.541251e-06 6.541250770452679e-06 2.020679614111469e-08 6.541250506097229e-06 1.100673341427681e-15
3.300000  8.770955e-06 8.770954839112141e-06 4.141315202601229e-09 8.770954766465571e-06 3.862899626356775e-16
3.400000  1.164777e-05 1.164777266183267e-05 1.317649260198452e-08 1.164777296878627e-05 3.636029606364160e-16
3.500000  1.532779e-05 1.532778723722808e-05 7.758161645538519e-09 1.532778699939717e-05 2.210450725307217e-16
3.600000  1.999713e-05 1.999712513428347e-05 2.575092814602601e-10 1.999712512398457e-05 2.541464161480996e-16
3.700000  2.587622e-05 2.587621748156594e-05 3.531739594547859e-10 2.587621746328833e-05 0.000000000000000e+00
3.800000  3.322440e-05 3.322439880174216e-05 2.272771376727464e-10 3.322439878663985e-05 3.059316568021358e-16
3.900000  4.234485e-05 4.234485021000433e-05 6.968580005063069e-10 4.234485026902103e-05 8.001284140791771e-17
4.000000  5.358987e-05 5.358986580450637e-05 3.347041292042484e-10 5.358986576863283e-05 3.793402062597072e-16
4.100000  6.736642e-05 6.736642166343932e-05 4.291689891714396e-10 6.736642160561613e-05 2.011762957428478e-16
4.200000  8.414202e-05 8.414202185060655e-05 2.355393238228556e-10 8.414202181096907e-05 1.610672867656485e-16
4.300000  1.044508e-04 1.044507834213368e-04 4.588329679951278e-11 1.044507834309218e-04 1.297503638642569e-16
4.400000  1.288997e-04 1.288997187804766e-04 3.513970832319524e-11 1.288997187895356e-04 1.051400831851080e-16
4.500000  1.581752e-04 1.581751637156504e-04 3.453009841042282e-12 1.581751637145580e-04 8.568050026188447e-17
4.600000  1.930493e-04 1.930492927181148e-04 1.715789219181208e-11 1.930492927114901e-04 7.020241807527830e-17
4.700000  2.343867e-04 2.343866540277881e-04 4.597251211205975e-12 2.343866540299431e-04 3.469274446232964e-16
4.800000  2.831506e-04 2.831506496187419e-04 8.304475638223816e-12 2.831506496140390e-04 9.572661884789723e-17
