-2.958275e+00 3.715524e-01
-2.921767e+00 4.295432e-01
-2.879851e+00 4.902004e-01
-2.832274e+00 5.537377e-01
-2.778764e+00 6.203616e-01
-2.719030e+00 6.902629e-01
-2.652765e+00 7.636056e-01
-2.579650e+00 8.405118e-01
-2.499358e+00 9.210407e-01
-2.411556e+00 1.005165e+00
-2.315925e+00 1.092738e+00
-2.212161e+00 1.183460e+00
-2.099998e+00 1.276837e+00
-1.979225e+00 1.372139e+00
-1.849711e+00 1.468355e+00
-1.711430e+00 1.564165e+00
-1.564492e+00 1.657917e+00
-1.409173e+00 1.747630e+00
-1.245941e+00 1.831035e+00
-1.075485e+00 1.905647e+00
-8.987241e-01 1.968894e+00
-7.168092e-01 2.018271e+00
-5.311109e-01 2.051529e+00
-3.431850e-01 2.066872e+00
-1.547245e-01 2.063115e+00
3.250242e-02 2.039806e+00
2.167214e-01 1.997262e+00
3.962207e-01 1.936526e+00
5.694129e-01 1.859256e+00
7.348834e-01 1.767556e+00
8.914226e-01 1.663781e+00
1.038040e+00 1.550352e+00
1.173962e+00 1.429595e+00
1.298619e+00 1.303619e+00
1.411620e+00 1.174236e+00
1.512725e+00 1.042932e+00
1.601813e+00 9.108575e-01
1.678855e+00 7.788498e-01
1.743883e+00 6.474706e-01
1.796973e+00 5.170487e-01
1.838219e+00 3.877255e-01
1.867722e+00 2.595010e-01
1.885579e+00 1.322758e-01
1.891873e+00 5.890039e-03
1.886673e+00 -1.198401e-01
1.870030e+00 -2.450885e-01
1.841983e+00 -3.699867e-01
1.802559e+00 -4.945909e-01
1.751787e+00 -6.188501e-01
1.689706e+00 -7.425721e-01
1.616380e+00 -8.653916e-01
1.531915e+00 -9.867386e-01
1.436482e+00 -1.105812e+00
1.330332e+00 -1.221563e+00
1.213826e+00 -1.332689e+00
1.087456e+00 -1.437651e+00
9.518596e-01 -1.534713e+00
8.078428e-01 -1.622012e+00
6.563822e-01 -1.697657e+00
4.986237e-01 -1.759848e+00
3.358683e-01 -1.807013e+00
1.695443e-01 -1.837947e+00
1.169346e-03 -1.851918e+00
-1.676973e-01 -1.848749e+00
-3.355065e-01 -1.828839e+00
-5.007707e-01 -1.793133e+00
-6.621107e-01 -1.743043e+00
-8.182927e-01 -1.680325e+00
-9.682536e-01 -1.606944e+00
-1.111114e+00 -1.524932e+00
-1.246177e+00 -1.436269e+00
-1.372922e+00 -1.342781e+00
-1.490984e+00 -1.246073e+00
-1.600132e+00 -1.147491e+00
-1.700246e+00 -1.048109e+00
-1.791292e+00 -9.487333e-01
-1.873299e+00 -8.499285e-01
-1.946335e+00 -7.520404e-01
-2.010493e+00 -6.552307e-01
-2.065873e+00 -5.595085e-01
-2.112569e+00 -4.647610e-01
-2.150662e+00 -3.707812e-01
-2.180209e+00 -2.772919e-01
-2.201241e+00 -1.839665e-01
-2.213756e+00 -9.044760e-02
-2.217720e+00 3.637684e-03
-2.213064e+00 9.866289e-02
-2.199686e+00 1.949884e-01
-2.177451e+00 2.929471e-01
-2.146198e+00 3.928292e-01
-2.105739e+00 4.948640e-01
-2.055872e+00 5.992000e-01
-1.996382e+00 7.058803e-01
-1.927061e+00 8.148151e-01
-1.847711e+00 9.257497e-01
-1.758170e+00 1.038231e+00
-1.658326e+00 1.151573e+00
-1.548142e+00 1.264824e+00
-1.427680e+00 1.376746e+00
-1.297130e+00 1.485804e+00
-1.156833e+00 1.590182e+00
-1.007308e+00 1.687826e+00
-8.492697e-01 1.776524e+00
-6.836361e-01 1.854025e+00
-5.115279e-01 1.918186e+00
-3.342494e-01 1.967137e+00
-1.532565e-01 1.999455e+00
2.989066e-02 2.014298e+00
2.135855e-01 2.011497e+00
3.962381e-01 1.991587e+00
5.763379e-01 1.955756e+00
7.525084e-01 1.905741e+00
9.235511e-01 1.843672e+00
1.088473e+00 1.771899e+00
1.246498e+00 1.692825e+00
1.397068e+00 1.608758e+00
1.539825e+00 1.521800e+00
1.674590e+00 1.433777e+00
1.801339e+00 1.346203e+00
1.920169e+00 1.260272e+00
2.031272e+00 1.176879e+00
2.134911e+00 1.096646e+00
2.231393e+00 1.019962e+00
2.321051e+00 9.470258e-01
2.404232e+00 8.778786e-01
2.481277e+00 8.124432e-01
2.552518e+00 7.505537e-01
2.618268e+00 6.919801e-01
2.678817e+00 6.364498e-01
2.734431e+00 5.836640e-01
2.785343e+00 5.333100e-01
2.831763e+00 4.850712e-01
2.873868e+00 4.386337e-01
2.911809e+00 3.936914e-01
2.945708e+00 3.499491e-01
2.975662e+00 3.071240e-01
3.001743e+00 2.649473e-01
3.023997e+00 2.231633e-01
3.042449e+00 1.815297e-01
3.057103e+00 1.398158e-01
3.067940e+00 9.780152e-02
3.074925e+00 5.527576e-02
3.078000e+00 1.203430e-02
3.077092e+00 -3.212194e-02
3.072108e+00 -7.738900e-02
3.062938e+00 -1.239618e-01
3.049453e+00 -1.720359e-01
3.031509e+00 -2.218093e-01
3.008941e+00 -2.734837e-01
2.981566e+00 -3.272650e-01
2.949182e+00 -3.833637e-01
2.911569e+00 -4.419938e-01
2.868485e+00 -5.033706e-01
2.819671e+00 -5.677068e-01
2.764847e+00 -6.352061e-01
2.703717e+00 -7.060549e-01
2.635966e+00 -7.804092e-01
2.561271e+00 -8.583788e-01
2.479299e+00 -9.400057e-01
2.389718e+00 -1.025238e+00
2.292206e+00 -1.113897e+00
2.186465e+00 -1.205641e+00
2.072237e+00 -1.299924e+00
1.949325e+00 -1.395950e+00
1.817616e+00 -1.492637e+00
1.677111e+00 -1.588583e+00
1.527956e+00 -1.682051e+00
1.370467e+00 -1.770978e+00
1.205164e+00 -1.853027e+00
1.032787e+00 -1.925667e+00
8.543144e-01 -1.986312e+00
6.709527e-01 -2.032491e+00
4.841234e-01 -2.062034e+00
2.954245e-01 -2.073269e+00
1.065773e-01 -2.065176e+00
-8.063746e-02 -2.037486e+00
-2.644498e-01 -1.990704e+00
-4.431692e-01 -1.926044e+00
-6.152433e-01 -1.845301e+00
-7.793033e-01 -1.750672e+00
-9.341917e-01 -1.644562e+00
-1.078973e+00 -1.529395e+00
-1.212926e+00 -1.407466e+00
-1.335531e+00 -1.280828e+00
-1.446441e+00 -1.151223e+00
-1.545451e+00 -1.020058e+00
-1.632470e+00 -8.884048e-01
-1.707492e+00 -7.570303e-01
-1.770566e+00 -6.264315e-01
-1.821776e+00 -4.968818e-01
-1.861225e+00 -3.684772e-01
-1.889015e+00 -2.411805e-01
-1.905242e+00 -1.148629e-01
-1.909988e+00 1.065801e-02
-1.903316e+00 1.355831e-01
-1.885272e+00 2.600988e-01
-1.855886e+00 3.843447e-01
-1.815180e+00 5.083824e-01
-1.763172e+00 6.321623e-01
-1.699896e+00 7.554917e-01
-1.625406e+00 8.780009e-01
-1.539803e+00 9.991129e-01
-1.443249e+00 1.118016e+00
-1.335992e+00 1.233648e+00
-1.218389e+00 1.344689e+00
-1.090927e+00 1.449580e+00
-9.542465e-01 1.546564e+00
-8.091537e-01 1.633754e+00
-6.566292e-01 1.709238e+00
-4.978246e-01 1.771197e+00
-3.340479e-01 1.818049e+00
-1.667352e-01 1.848580e+00
2.587824e-03 1.862063e+00
1.723545e-01 1.858332e+00
3.410098e-01 1.837805e+00
5.070622e-01 1.801451e+00
6.691309e-01 1.750710e+00
8.259832e-01 1.687365e+00
9.765594e-01 1.613407e+00
1.119985e+00 1.530889e+00
1.255572e+00 1.441808e+00
1.382807e+00 1.348001e+00
1.501334e+00 1.251078e+00
