# ERROR OUTPUTS FOR SIMPSON, MILNE, AND GSL -- PS2
# n   Simpson_Err   Milne_Err
4 7.0753808024e-03 4.9097181882e-03
8 5.0846587263e-04 7.0671543978e-05
16 3.2724256789e-05 1.0081490659e-06
32 2.0596207977e-06 1.5311731353e-08
64 1.2894892447e-07 2.3746685324e-10
128 8.0627798674e-09 3.7033191500e-12
256 5.0397727265e-10 5.8319986615e-14
512 3.1497901092e-11 1.2770799989e-15
1024 1.9711729782e-12 4.2569333295e-16
2048 1.2110975323e-13 8.5138666591e-16
4096 7.6624799932e-15 6.3853999943e-16
8192 3.8312399966e-15 2.1284666648e-15
16384 8.5138666591e-16 8.5138666591e-16
32768 4.8954733290e-15 5.5340133284e-15
65536 6.3853999943e-15 4.8954733290e-15
131072 2.4690213311e-14 8.7267133256e-15
262144 2.0858973315e-14 1.0642333324e-14
524288 6.4279693276e-14 7.2367866602e-15
1048576 0.0000000000e+00 1.9156199983e-14
