# Wavefunction for Coulomb; State=0, Dim=1
# r      Approx.      Exact
0.050000 0.075019 0.095123
0.100000 0.149476 0.180967
0.150000 0.222817 0.258212
0.200000 0.294501 0.327492
0.250000 0.364008 0.389400
0.300000 0.430844 0.444491
0.350000 0.494550 0.493282
0.400000 0.554701 0.536256
0.450000 0.610918 0.573865
0.500000 0.662866 0.606531
0.550000 0.710261 0.634645
0.600000 0.752871 0.658574
0.650000 0.790517 0.678660
0.700000 0.823073 0.695219
0.750000 0.850469 0.708550
0.800000 0.872687 0.718926
0.850000 0.889759 0.726605
0.900000 0.901770 0.731825
0.950000 0.908847 0.734808
1.000000 0.911161 0.735759
1.050000 0.908923 0.734869
1.100000 0.902375 0.732316
1.150000 0.891791 0.728265
1.200000 0.877469 0.722866
1.250000 0.859726 0.716262
1.300000 0.838894 0.708583
1.350000 0.815315 0.699949
1.400000 0.789336 0.690471
1.450000 0.761305 0.680254
1.500000 0.731564 0.669390
1.550000 0.700451 0.657969
1.600000 0.668291 0.646069
1.650000 0.635394 0.633765
1.700000 0.602055 0.621124
1.750000 0.568548 0.608209
1.800000 0.535128 0.595076
1.850000 0.502028 0.581778
1.900000 0.469456 0.568361
1.950000 0.437597 0.554869
2.000000 0.406615 0.541341
2.050000 0.376648 0.527813
2.100000 0.347810 0.514317
2.150000 0.320197 0.500882
2.200000 0.293882 0.487534
2.250000 0.268916 0.474297
2.300000 0.245336 0.461191
2.350000 0.223159 0.448235
2.400000 0.202388 0.435446
2.450000 0.183013 0.422839
2.500000 0.165011 0.410425
2.550000 0.148348 0.398216
2.600000 0.132984 0.386223
2.650000 0.118870 0.374451
2.700000 0.105950 0.362910
2.750000 0.094167 0.351603
2.800000 0.083458 0.340536
2.850000 0.073758 0.329713
2.900000 0.065003 0.319135
2.950000 0.057127 0.308804
3.000000 0.050066 0.298722
3.050000 0.043755 0.288889
3.100000 0.038135 0.279305
3.150000 0.033144 0.269968
3.200000 0.028728 0.260878
3.250000 0.024832 0.252032
3.300000 0.021405 0.243429
3.350000 0.018401 0.235065
3.400000 0.015776 0.226938
3.450000 0.013489 0.219045
3.500000 0.011502 0.211382
3.550000 0.009781 0.203945
3.600000 0.008295 0.196731
3.650000 0.007016 0.189735
3.700000 0.005918 0.182954
3.750000 0.004979 0.176383
3.800000 0.004178 0.170018
3.850000 0.003496 0.163854
3.900000 0.002917 0.157887
3.950000 0.002428 0.152112
4.000000 0.002016 0.146525
4.050000 0.001669 0.141121
4.100000 0.001378 0.135896
4.150000 0.001135 0.130845
4.200000 0.000932 0.125963
4.250000 0.000764 0.121246
4.300000 0.000624 0.116690
4.350000 0.000508 0.112289
4.400000 0.000413 0.108041
4.450000 0.000335 0.103939
4.500000 0.000271 0.099981
4.550000 0.000218 0.096162
4.600000 0.000176 0.092477
4.650000 0.000141 0.088923
4.700000 0.000113 0.085496
4.750000 0.000090 0.082191
4.800000 0.000072 0.079006
4.850000 0.000057 0.075935
4.900000 0.000045 0.072977
4.950000 0.000036 0.070126
5.000000 0.000028 0.067379
5.050000 0.000022 0.064734
5.100000 0.000017 0.062187
5.150000 0.000013 0.059734
5.200000 0.000010 0.057372
5.250000 0.000008 0.055099
5.300000 0.000006 0.052911
5.350000 0.000005 0.050805
5.400000 0.000004 0.048779
5.450000 0.000003 0.046830
5.500000 0.000002 0.044954
5.550000 0.000002 0.043151
5.600000 0.000001 0.041416
5.650000 0.000001 0.039748
5.700000 0.000001 0.038144
5.750000 0.000001 0.036602
5.800000 0.000000 0.035120
5.850000 0.000000 0.033695
5.900000 0.000000 0.032325
5.950000 0.000000 0.031010
6.000000 0.000000 0.029745
