# Wavefunction for Coulomb; State=0, Dim=5
# r      Approx.      Exact
0.050000 0.073663 0.095123
0.100000 0.146421 0.180967
0.150000 0.217391 0.258212
0.200000 0.285744 0.327492
0.250000 0.350722 0.389400
0.300000 0.411658 0.444491
0.350000 0.467997 0.493282
0.400000 0.519300 0.536256
0.450000 0.565260 0.573865
0.500000 0.605697 0.606531
0.550000 0.640562 0.634645
0.600000 0.669928 0.658574
0.650000 0.693977 0.678660
0.700000 0.712993 0.695219
0.750000 0.727337 0.708550
0.800000 0.737436 0.718926
0.850000 0.743758 0.726605
0.900000 0.746796 0.731825
0.950000 0.747047 0.734808
1.000000 0.744995 0.735759
1.050000 0.741094 0.734869
1.100000 0.735757 0.732316
1.150000 0.729348 0.728265
1.200000 0.722168 0.722866
1.250000 0.714460 0.716262
1.300000 0.706401 0.708583
1.350000 0.698110 0.699949
1.400000 0.689650 0.690471
1.450000 0.681038 0.680254
1.500000 0.672249 0.669390
1.550000 0.663229 0.657969
1.600000 0.653905 0.646069
1.650000 0.644194 0.633765
1.700000 0.634012 0.621124
1.750000 0.623283 0.608209
1.800000 0.611948 0.595076
1.850000 0.599966 0.581778
1.900000 0.587322 0.568361
1.950000 0.574026 0.554869
2.000000 0.560116 0.541341
2.050000 0.545653 0.527813
2.100000 0.530723 0.514317
2.150000 0.515429 0.500882
2.200000 0.499887 0.487534
2.250000 0.484223 0.474297
2.300000 0.468567 0.461191
2.350000 0.453044 0.448235
2.400000 0.437773 0.435446
2.450000 0.422863 0.422839
2.500000 0.408404 0.410425
2.550000 0.394471 0.398216
2.600000 0.381117 0.386223
2.650000 0.368374 0.374451
2.700000 0.356254 0.362910
2.750000 0.344748 0.351603
2.800000 0.333827 0.340536
2.850000 0.323450 0.329713
2.900000 0.313560 0.319135
2.950000 0.304090 0.308804
3.000000 0.294967 0.298722
3.050000 0.286115 0.288889
3.100000 0.277458 0.279305
3.150000 0.268922 0.269968
3.200000 0.260439 0.260878
3.250000 0.251951 0.252032
3.300000 0.243406 0.243429
3.350000 0.234766 0.235065
3.400000 0.226003 0.226938
3.450000 0.217101 0.219045
3.500000 0.208056 0.211382
3.550000 0.198874 0.203945
3.600000 0.189573 0.196731
3.650000 0.180179 0.189735
3.700000 0.170724 0.182954
3.750000 0.161247 0.176383
3.800000 0.151792 0.170018
3.850000 0.142405 0.163854
3.900000 0.133133 0.157887
3.950000 0.124022 0.152112
4.000000 0.115117 0.146525
4.050000 0.106462 0.141121
4.100000 0.098094 0.135896
4.150000 0.090047 0.130845
4.200000 0.082352 0.125963
4.250000 0.075032 0.121246
4.300000 0.068105 0.116690
4.350000 0.061585 0.112289
4.400000 0.055479 0.108041
4.450000 0.049791 0.103939
4.500000 0.044519 0.099981
4.550000 0.039655 0.096162
4.600000 0.035191 0.092477
4.650000 0.031113 0.088923
4.700000 0.027406 0.085496
4.750000 0.024051 0.082191
4.800000 0.021030 0.079006
4.850000 0.018320 0.075935
4.900000 0.015902 0.072977
4.950000 0.013753 0.070126
5.000000 0.011851 0.067379
5.050000 0.010176 0.064734
5.100000 0.008706 0.062187
5.150000 0.007422 0.059734
5.200000 0.006305 0.057372
5.250000 0.005338 0.055099
5.300000 0.004503 0.052911
5.350000 0.003785 0.050805
5.400000 0.003171 0.048779
5.450000 0.002647 0.046830
5.500000 0.002203 0.044954
5.550000 0.001826 0.043151
5.600000 0.001509 0.041416
5.650000 0.001243 0.039748
5.700000 0.001020 0.038144
5.750000 0.000835 0.036602
5.800000 0.000680 0.035120
5.850000 0.000553 0.033695
5.900000 0.000448 0.032325
5.950000 0.000362 0.031010
6.000000 0.000291 0.029745
