# Wavefunction for Coulomb; State=0, Dim=10
# r      Approx.      Exact
0.050000 0.078770 0.095123
0.100000 0.156222 0.180967
0.150000 0.231096 0.258212
0.200000 0.302245 0.327492
0.250000 0.368683 0.389400
0.300000 0.429625 0.444491
0.350000 0.484505 0.493282
0.400000 0.532997 0.536256
0.450000 0.575003 0.573865
0.500000 0.610644 0.606531
0.550000 0.640233 0.634645
0.600000 0.664233 0.658574
0.650000 0.683220 0.678660
0.700000 0.697840 0.695219
0.750000 0.708755 0.708550
0.800000 0.716613 0.718926
0.850000 0.722004 0.726605
0.900000 0.725439 0.731825
0.950000 0.727326 0.734808
1.000000 0.727971 0.735759
1.050000 0.727569 0.734869
1.100000 0.726221 0.732316
1.150000 0.723949 0.728265
1.200000 0.720714 0.722866
1.250000 0.716442 0.716262
1.300000 0.711049 0.708583
1.350000 0.704459 0.699949
1.400000 0.696623 0.690471
1.450000 0.687534 0.680254
1.500000 0.677233 0.669390
1.550000 0.665810 0.657969
1.600000 0.653400 0.646069
1.650000 0.640177 0.633765
1.700000 0.626339 0.621124
1.750000 0.612095 0.608209
1.800000 0.597652 0.595076
1.850000 0.583200 0.581778
1.900000 0.568898 0.568361
1.950000 0.554871 0.554869
2.000000 0.541199 0.541341
2.050000 0.527919 0.527813
2.100000 0.515027 0.514317
2.150000 0.502484 0.500882
2.200000 0.490223 0.487534
2.250000 0.478161 0.474297
2.300000 0.466208 0.461191
2.350000 0.454277 0.448235
2.400000 0.442296 0.435446
2.450000 0.430212 0.422839
2.500000 0.417998 0.410425
2.550000 0.405655 0.398216
2.600000 0.393209 0.386223
2.650000 0.380714 0.374451
2.700000 0.368240 0.362910
2.750000 0.355873 0.351603
2.800000 0.343703 0.340536
2.850000 0.331819 0.329713
2.900000 0.320302 0.319135
2.950000 0.309218 0.308804
3.000000 0.298614 0.298722
3.050000 0.288515 0.288889
3.100000 0.278925 0.279305
3.150000 0.269825 0.269968
3.200000 0.261176 0.260878
3.250000 0.252924 0.252032
3.300000 0.245006 0.243429
3.350000 0.237352 0.235065
3.400000 0.229892 0.226938
3.450000 0.222560 0.219045
3.500000 0.215301 0.211382
3.550000 0.208073 0.203945
3.600000 0.200847 0.196731
3.650000 0.193611 0.189735
3.700000 0.186371 0.182954
3.750000 0.179143 0.176383
3.800000 0.171960 0.170018
3.850000 0.164861 0.163854
3.900000 0.157893 0.157887
3.950000 0.151103 0.152112
4.000000 0.144539 0.146525
4.050000 0.138245 0.141121
4.100000 0.132254 0.135896
4.150000 0.126594 0.130845
4.200000 0.121280 0.125963
4.250000 0.116315 0.121246
4.300000 0.111692 0.116690
4.350000 0.107393 0.112289
4.400000 0.103390 0.108041
4.450000 0.099648 0.103939
4.500000 0.096127 0.099981
4.550000 0.092783 0.096162
4.600000 0.089572 0.092477
4.650000 0.086449 0.088923
4.700000 0.083374 0.085496
4.750000 0.080310 0.082191
4.800000 0.077229 0.079006
4.850000 0.074107 0.075935
4.900000 0.070928 0.072977
4.950000 0.067683 0.070126
5.000000 0.064371 0.067379
5.050000 0.060997 0.064734
5.100000 0.057571 0.062187
5.150000 0.054111 0.059734
5.200000 0.050634 0.057372
5.250000 0.047163 0.055099
5.300000 0.043722 0.052911
5.350000 0.040335 0.050805
5.400000 0.037025 0.048779
5.450000 0.033815 0.046830
5.500000 0.030724 0.044954
5.550000 0.027771 0.043151
5.600000 0.024970 0.041416
5.650000 0.022333 0.039748
5.700000 0.019868 0.038144
5.750000 0.017580 0.036602
5.800000 0.015473 0.035120
5.850000 0.013544 0.033695
5.900000 0.011791 0.032325
5.950000 0.010210 0.031010
6.000000 0.008792 0.029745
